"Manager, Director, Senior Official","55,745"
"Corporate Manager, Corporate Director","60,136"
"Senior Executive, Senior Official","122,818"
CEO,"133,072"
"Elected Office, Elected Representative",x
"Production Manger, Production Director","55,029"
"Manufacturing Director, Manufacturing Manager","56,322"
"Construction Manager, Construction Director","48,796"
"Mining Production Manger, Energy Production Manager","55,109"
"Functional Manager, Functional Director","73,085"
"Financial Manager, Financial Director","79,878"
"Marketing Director, Sales Director","83,144"
"Purchasing Manager, Purchasing Director","55,622"
"Advertising Director, Public Relations Director","63,461"
"HR manager, HR Director","53,359"
IT Director,"82,948"
Functional Manager,"62,232"
"Bank Manger, Bank Director","76,534"
"Bank Manger, Bank Director","76,534"
"Transport Manager, Transport Director, Logistics Manager, Logistics Director","36,110"
"Distribution Manger, Distribution Director","44,226"
"Warehouse Manager, Warehouse Director","31,907"
Senior Protective Officer,"55,482"
Army Officer,
Senior Police Officer,"60,950"
"Senior Fire Officer, Senior Ambulance Officer, Senior Prison Office","47,136"
"Health Director, Social Services Manager, Social Services Director","47,039"
"Public Health Director, Public Health Manager, Health Services Director, Health Services Manager","49,203"
"Social Services Manager, Social Services Director","41,415"
"Retail Manger, Retail Director, Wholesale Manger, Wholesale Director","31,773"
"Retail Manger, Retail Director, Wholesale Manger, Wholesale Director","31,773"
Proprietor,"33,340"
"Agriculture Manager, Agriculture Proprietor","28,158"
"Horticulture Manager, Horticulture Proprietor","28,979"
"Fishing manager, Fishing proprietor, Forestry Manager, Forestry Proprietor","25,044"
"Hotel Manager, Hotel Proprietor","30,892"
Accomodation Manger,x
Restaurant Manager,"24,664"
Pub Landlord,"25,617"
Leisure Centre Manger,x
Travel Agency Manager,x
"Care Service Manager, Health Service Manager","31,362"
Health Care Practice Manger,"29,190"
"Residential Care Manger, Daycare Manager, Domiciliary Care Manager","32,138"
,"35,629"
"Property Manager, Housing Manager, Estate Manager","37,585"
Garage Manager,"44,269"
Beauty Salon Manager,"19,955"
"Shopkeeper, Store owner",x
"Waste Disposal Manager, Environmental Services Manager","45,991"
,"33,159"
,"39,310"
"Scientist, Researcher, Engineer, Technologist","45,208"
"Natural Scientist, Social Scientist","39,917"
"Chemist, Chemical Scientist","38,260"
"Biologist, Biological Scientist","38,520"
"Physicist, Physical Scientist","44,737"
"Social Scientist, Humanities Scientist","33,851"
"Natural Scientist, Social Scientist","42,147"
Engineer,"44,017"
Civil Engineer,"42,034"
Mechanical Engineer,"49,750"
Electrical Engineer,"51,668"
Electronics Engineer,"41,720"
"Design Engineer, Development Engineer","42,020"
"Production Engineer, Process Engineer","40,574"
Engineer,"44,437"
"IT professional, Telecommunications ProfessionalP","47,362"
"IT manager, Technology Manager","50,969"
"IT Project Manager, IT PM, IT Programme Manager, Technology Project Manager, Technology Programme Manager, Technology PM","52,384"
"IT BA, IT Business Analyst, IT Architect, IT Systems Designer, Tech BA, Tech BA, Tech Business Analyst, Tech Architect","51,795"
"Programmer, Software Developer, Developer","45,298"
"Web developer, Web designer, Web dev","32,850"
"IT professional, telecommunications Professional","46,290"
"Conservation Manager, Environmental Manager","34,005"
"Conservation Manager, Environmental Manager","32,132"
Environment Manager,"34,525"
"R&D Manager, Research and Development Manager","49,956"
"R&D Manager, Research and Development Manager","49,956"
Health Professional,"35,459"
Health Professional,"55,210"
"Medical Practitioner, Doctor","71,990"
Psychologist,"36,998"
Pharmacist,"37,459"
"Optician, Opthalmic Doctor","28,834"
"Dentist, Dental Practitioner",x
"Vet, Vetenarian","34,980"
Radiographer,"32,436"
Podiatrist,"26,387"
Health Professional,"31,595"
Therapist,"28,194"
Physiotherapist,"28,877"
Occupational Therapist,"27,047"
"Speech Therapist, Language Therapist","25,982"
Therapist,"29,864"
"Nurse, Midwife","27,869"
Nurse,"27,777"
Midwife,"29,283"
Teacher,"34,194"
Teacher,"34,194"
University Lecturer,"44,677"
College Lecturer,"30,079"
High-school Teacher,"34,737"
"Primary School Teacher, Nursery Teacher","30,402"
Special Needs Teacher,"29,114"
