"Managers, directors and senior officials","55,745"
  Corporate managers and directors,"60,136"
    Chief executives and senior officials,"122,818"
      Chief executives and senior officials,"133,072"
      Elected officers and representatives,x
    Production managers and directors,"55,029"
      Production managers and directors in manufacturing,"56,322"
      Production managers and directors in construction,"48,796"
      Production managers and directors in mining and energy,"55,109"
    Functional managers and directors,"73,085"
      Financial managers and directors,"79,878"
      Marketing and sales directors,"83,144"
      Purchasing managers and directors,"55,622"
      Advertising and public relations directors,"63,461"
      Human resource managers and directors,"53,359"
      Information technology and telecommunications directors,"82,948"
      Functional managers and directors n.e.c.,"62,232"
    Financial institution managers and directors,"76,534"
      Financial institution managers and directors,"76,534"
    Managers and directors in transport and logistics,"36,110"
      Managers and directors in transport and distribution,"44,226"
      Managers and directors in storage and warehousing,"31,907"
    Senior officers in protective services,"55,482"
      Officers in armed forces,
      Senior police officers,"60,950"
"      Senior officers in fire, ambulance, prison and related services","47,136"
    Health and social services managers and directors,"47,039"
      Health services and public health managers and directors,"49,203"
      Social services managers and directors,"41,415"
    Managers and directors in retail and wholesale,"31,773"
      Managers and directors in retail and wholesale,"31,773"
  Other managers and proprietors,"33,340"
    Managers and proprietors in agriculture related services,"28,158"
      Managers and proprietors in agriculture and horticulture,"28,979"
"      Managers and proprietors in forestry, fishing and related services","25,044"
    Managers and proprietors in hospitality and leisure services,"30,892"
      Hotel and accommodation managers and proprietors,x
      Restaurant and catering establishment managers and proprietors,"24,664"
      Publicans and managers of licensed premises,"25,617"
      Leisure and sports managers,x
      Travel agency managers and proprietors,x
    Managers and proprietors in health and care services,"31,362"
      Health care practice managers,"29,190"
"      Residential, day and domiciliary  care managers and proprietors","32,138"
    Managers and proprietors in other services,"35,629"
"      Property, housing and estate managers","37,585"
      Garage managers and proprietors,"44,269"
      Hairdressing and beauty salon managers and proprietors,"19,955"
      Shopkeepers and proprietors – wholesale and retail,x
      Waste disposal and environmental services managers,"45,991"
      Managers and proprietors in other services n.e.c.,"33,159"
Professional occupations,"39,310"
"  Science, research, engineering and technology professionals","45,208"
    Natural and social science professionals,"39,917"
      Chemical scientists,"38,260"
      Biological scientists and biochemists,"38,520"
      Physical scientists,"44,737"
      Social and humanities scientists,"33,851"
      Natural and social science professionals n.e.c.,"42,147"
    Engineering professionals,"44,017"
      Civil engineers,"42,034"
      Mechanical engineers,"49,750"
      Electrical engineers,"51,668"
      Electronics engineers,"41,720"
      Design and development engineers,"42,020"
      Production and process engineers,"40,574"
      Engineering professionals n.e.c.,"44,437"
    Information technology and telecommunications professionals,"47,362"
      IT specialist managers,"50,969"
      IT project and programme managers,"52,384"
"      IT business analysts, architects and systems designers","51,795"
      Programmers and software development professionals,"45,298"
      Web design and development professionals,"32,850"
      Information technology and telecommunications professionals n.e.c.,"46,290"
    Conservation and environment professionals,"34,005"
      Conservation professionals,"32,132"
      Environment professionals,"34,525"
    Research and development managers ,"49,956"
      Research and development managers,"49,956"
  Health professionals,"35,459"
    Health professionals,"55,210"
      Medical practitioners,"71,990"
      Psychologists,"36,998"
      Pharmacists,"37,459"
      Ophthalmic opticians,"28,834"
      Dental practitioners,x
      Veterinarians,"34,980"
      Medical radiographers,"32,436"
      Podiatrists,"26,387"
      Health professionals n.e.c.,"31,595"
    Therapy professionals,"28,194"
      Physiotherapists,"28,877"
      Occupational therapists,"27,047"
      Speech and language therapists,"25,982"
      Therapy professionals n.e.c.,"29,864"
    Nursing and midwifery professionals,"27,869"
      Nurses,"27,777"
      Midwives,"29,283"
  Teaching and educational professionals,"34,194"
    Teaching and educational professionals,"34,194"
      Higher education teaching professionals,"44,677"
      Further education teaching professionals,"30,079"
      Secondary education teaching professionals,"34,737"
      Primary and nursery education teaching professionals,"30,402"
      Special needs education teaching professionals,"29,114"
      Senior professionals of educational establishments,"53,225"
      Education advisers and school inspectors,"35,231"
      Teaching and other educational professionals n.e.c.,"18,731"
"  Business, media and public service professionals","43,226"
    Legal professionals,"57,894"
      Barristers and judges,"38,823"
      Solicitors,"48,498"
      Legal professionals n.e.c.,"79,602"
"    Business, research and administrative professionals","45,591"
      Chartered and certified accountants,"40,394"
      Management consultants and business analysts,"44,276"
      Business and financial project management professionals,"52,249"
"      Actuaries, economists and statisticians","59,452"
      Business and related research professionals,"33,454"
"      Business, research and administrative professionals n.e.c.","40,186"
"    Architects, town planners and surveyors","41,770"
      Architects,"42,857"
      Town planning officers,"36,577"
      Quantity surveyors,"45,157"
      Chartered surveyors,"40,092"
      Chartered architectural technologists,"37,364"
      Construction project managers and related professionals,"41,536"
    Welfare professionals,"29,015"
      Social workers,"31,261"
      Probation officers,"29,060"
      Clergy,"23,705"
      Welfare professionals n.e.c.,"28,534"
    Librarians and related professionals,"24,747"
      Librarians,"25,314"
      Archivists and curators,"24,048"
    Quality and regulatory professionals,"43,431"
      Quality control and planning engineers,"37,774"
      Quality assurance and regulatory professionals,"47,332"
      Environmental health professionals,"34,944"
    Media professionals,"38,977"
"      Journalists, newspaper and periodical editors","38,289"
      Public relations professionals,"36,372"
      Advertising accounts managers and creative directors,"43,389"
Associate professional and technical occupations,"35,776"
"  Science, engineering and technology associate professionals","30,254"
"    Science, engineering and production technicians","29,024"
      Laboratory technicians,"22,270"
      Electrical and electronics technicians,"33,823"
      Engineering technicians,"35,534"
      Building and civil engineering technicians,"24,869"
      Quality assurance technicians,"29,301"
"      Planning, process and production technicians","31,124"
"      Science, engineering and production technicians n.e.c.","27,752"
    Draughtspersons and related architectural technicians,"30,681"
      Architectural and town planning technicians,"30,000"
      Draughtspersons,"30,991"
