occupation,probability_woman,probability_man,genderedness,femaleness,maleness,salary,model
Manager,0.13328854134306312,0.20639530196785927,0.24569260454430708,0.3650452400535264,0.6349547599464735,55745.0,345M
Director,0.09741150960326195,0.1720680668950081,0.19772815138004848,0.32794614135438965,0.6720538586456104,55745.0,345M
Senior Official,0.14018461294472218,0.2064153105020523,0.24951754670988618,0.3797993454612184,0.6202006545387816,55745.0,345M
Corporate Manager,0.14638110902160406,0.26185160130262375,0.29998948345424203,0.32451334780154223,0.6754866521984577,60136.0,345M
Corporate Director,0.15329049713909626,0.19714278355240822,0.24972635747942779,0.4207470688027063,0.5792529311972937,60136.0,345M
Senior Executive,0.15080138482153416,0.22156469896435738,0.2680148755036905,0.38044433016145734,0.6195556698385427,122818.0,345M
Senior Official,0.14018461294472218,0.2064153105020523,0.24951754670988618,0.3797993454612184,0.6202006545387816,122818.0,345M
CEO,0.11731193447485566,0.3182305097579956,0.3391647789955003,0.2248423921150065,0.7751576078849935,133072.0,345M
Production Manger,0.24263613484799862,0.20585033670067787,0.31819279541460177,0.5521002567579096,0.44789974324209036,55029.0,345M
Production Director,0.17213085666298866,0.21923210844397545,0.2787323970914134,0.4237483867349335,0.5762516132650666,55029.0,345M
Manufacturing Director,0.21945625357329845,0.2422931306064129,0.3269051978349138,0.46854013983279125,0.5314598601672087,56322.0,345M
Manufacturing Manager,0.22761018201708794,0.29186879098415375,0.3701267162856574,0.42164928954040326,0.5783507104595967,56322.0,345M
Construction Manager,0.25272076297551394,0.28944896906614304,0.38425055592982416,0.45693925430570287,0.5430607456942971,48796.0,345M
Construction Director,0.27375606168061495,0.33791808784008026,0.4348919583027224,0.4334646041195359,0.5665353958804641,48796.0,345M
Mining Production Manger,0.237937499769032,0.23294301331043243,0.3329815328910635,0.5067521791949307,0.49324782080506935,55109.0,345M
Energy Production Manager,0.17505573434755206,0.14038360305130482,0.2243926606055266,0.5696955241764002,0.43030447582359976,55109.0,345M
Functional Manager,0.2040449595078826,0.202975045889616,0.287807600237494,0.501673447462696,0.49832655253730396,73085.0,345M
Functional Director,0.2050410807132721,0.20066992938518524,0.28689765655982935,0.5068587088524131,0.49314129114758687,73085.0,345M
Financial Manager,0.1901971511542797,0.2518049441277981,0.31556407621021665,0.4118337459526452,0.5881662540473548,79878.0,345M
Financial Director,0.168077337089926,0.1922052949666977,0.25532893814935254,0.45742944010399733,0.5425705598960027,79878.0,345M
Marketing Director,0.19070698507130146,0.19962697476148605,0.2760798493324143,0.48545436935010744,0.5145456306498926,83144.0,345M
Sales Director,0.21181531064212322,0.2752794399857521,0.3473391655159096,0.41751871922977685,0.5824812807702231,83144.0,345M
Purchasing Manager,0.2066882699728012,0.17806244269013405,0.2728117930756052,0.5472780228199416,0.45272197718005835,55622.0,345M
Purchasing Director,0.1850414089858532,0.20377491600811481,0.2752535911365809,0.4693508100693257,0.5306491899306742,55622.0,345M
Advertising Director,0.21109340619295835,0.20128393173217773,0.2916772999595774,0.5151408123797883,0.48485918762021174,63461.0,345M
Public Relations Director,0.2972573144361377,0.21437707170844078,0.36649616622833964,0.6022386564632943,0.39776134353670567,63461.0,345M
HR manager,0.26163451187312603,0.24022885039448738,0.3551936350287627,0.5271368935920535,0.4728631064079465,53359.0,345M
HR Director,0.233529943972826,0.21712294220924377,0.31887083084777423,0.5231672997455488,0.47683270025445124,53359.0,345M
IT Director,0.22827165015041828,0.2283077910542488,0.3228504200376166,0.4999496078626296,0.5000503921373705,82948.0,345M
Functional Manager,0.2040449595078826,0.202975045889616,0.287807600237494,0.501673447462696,0.49832655253730396,62232.0,345M
Bank Manger,0.25511650647968054,0.22903622686862946,0.34284402444349993,0.5342602426332047,0.4657397573667953,76534.0,345M
Bank Director,0.2701921910047531,0.331370584666729,0.427563193530873,0.4354781745197944,0.5645218254802056,76534.0,345M
